rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
1,Germany,GER,57,0,0,UEFA,1992-12-31
96,Syria,SYR,11,0,0,AFC,1992-12-31
97,Burkina Faso,BFA,11,0,0,CAF,1992-12-31
99,Latvia,LVA,10,0,0,UEFA,1992-12-31
100,Burundi,BDI,10,0,0,CAF,1992-12-31
101,Togo,TOG,10,0,0,CAF,1992-12-31
102,Angola,ANG,10,0,0,CAF,1992-12-31
95,Suriname,SUR,12,0,0,CONCACAF,1992-12-31
103,Luxembourg,LUX,10,0,0,UEFA,1992-12-31
105,St. Vincent and the Grenadines,VIN,9,0,0,CONCACAF,1992-12-31
106,Fiji,FIJ,9,0,0,OFC,1992-12-31
107,Mozambique,MOZ,9,0,0,CAF,1992-12-31
108,Indonesia,IDN,9,0,0,AFC,1992-12-31
109,Antigua and Barbuda,ATG,8,0,0,CONCACAF,1992-12-31
110,Jordan,JOR,8,0,0,AFC,1992-12-31
104,Eswatini,SWZ,10,0,0,CAF,1992-12-31
94,Faroe Islands,FRO,12,0,0,UEFA,1992-12-31
93,Lithuania,LTU,12,0,0,UEFA,1992-12-31
92,Uganda,UGA,12,0,0,CAF,1992-12-31
77,Korea DPR,PRK,16,0,0,AFC,1992-12-31
78,Peru,PER,16,0,0,CONMEBOL,1992-12-31
79,Sierra Leone,SLE,16,0,0,CAF,1992-12-31
80,Tanzania,TAN,15,0,0,CAF,1992-12-31
81,Niger,NIG,15,0,0,CAF,1992-12-31
82,Iraq,IRQ,15,0,0,AFC,1992-12-31
83,Guatemala,GUA,15,0,0,CONCACAF,1992-12-31
84,Liberia,LBR,15,0,0,CAF,1992-12-31
85,Ethiopia,ETH,14,0,0,CAF,1992-12-31
86,Albania,ALB,14,0,0,UEFA,1992-12-31
87,Bolivia,BOL,14,0,0,CONMEBOL,1992-12-31
88,Bahrain,BHR,13,0,0,AFC,1992-12-31
89,Singapore,SGP,13,0,0,AFC,1992-12-31
90,Congo,CGO,13,0,0,CAF,1992-12-31
91,Malaysia,MAS,13,0,0,AFC,1992-12-31
111,Sudan,SDN,7,0,0,CAF,1992-12-31
113,Croatia,CRO,7,0,0,UEFA,1992-12-31
114,Barbados,BRB,7,0,0,CONCACAF,1992-12-31
115,Yemen,YEM,6,0,0,AFC,1992-12-31
135,Cape Verde Islands,CPV,3,0,0,CAF,1992-12-31
136,Solomon Islands,SOL,2,0,0,OFC,1992-12-31
137,Libya,LBY,2,0,0,CAF,1992-12-31
139,Botswana,BOT,2,0,0,CAF,1992-12-31
140,Brunei Darussalam,BRU,2,0,0,AFC,1992-12-31
141,Dominican Republic,DOM,2,0,0,CONCACAF,1992-12-31
142,Lesotho,LES,2,0,0,CAF,1992-12-31
143,India,IND,2,0,0,AFC,1992-12-31
144,Cuba,CUB,1,0,0,CONCACAF,1992-12-31
145,Pakistan,PAK,1,0,0,AFC,1992-12-31
146,Belarus,BLR,1,0,0,UEFA,1992-12-31
147,Seychelles,SEY,1,0,0,CAF,1992-12-31
148,Central African Republic,CTA,1,0,0,CAF,1992-12-31
149,Nepal,NEP,1,0,0,AFC,1992-12-31
150,Gambia,GAM,1,0,0,CAF,1992-12-31
134,Mauritania,MTN,3,0,0,CAF,1992-12-31
76,Kenya,KEN,17,0,0,CAF,1992-12-31
133,Bangladesh,BAN,3,0,0,AFC,1992-12-31
131,Slovenia,SVN,3,0,0,UEFA,1992-12-31
116,Oman,OMA,6,0,0,AFC,1992-12-31
117,Guinea-Bissau,GNB,6,0,0,CAF,1992-12-31
118,St. Lucia,LCA,6,0,0,CONCACAF,1992-12-31
119,Hong Kong,HKG,5,0,0,AFC,1992-12-31
120,Panama,PAN,5,0,0,CONCACAF,1992-12-31
121,Grenada,GRN,5,0,0,CONCACAF,1992-12-31
122,Puerto Rico,PUR,5,0,0,CONCACAF,1992-12-31
123,Tahiti,TAH,5,0,0,OFC,1992-12-31
124,South Africa,RSA,5,0,0,CAF,1992-12-31
125,Venezuela,VEN,5,0,0,CONMEBOL,1992-12-31
126,San Marino,SMR,4,0,0,UEFA,1992-12-31
127,Benin,BEN,4,0,0,CAF,1992-12-31
128,Guyana,GUY,4,0,0,CONCACAF,1992-12-31
129,Ukraine,UKR,4,0,0,UEFA,1992-12-31
130,Haiti,HAI,4,0,0,CONCACAF,1992-12-31
132,Estonia,EST,3,0,0,UEFA,1992-12-31
75,Thailand,THA,18,0,0,AFC,1992-12-31
112,Mauritius,MRI,7,0,0,CAF,1992-12-31
73,Malta,MLT,19,0,0,UEFA,1992-12-31
21,Egypt,EGY,45,0,0,CAF,1992-12-31
22,Cameroon,CMR,43,0,0,CAF,1992-12-31
23,Scotland,SCO,43,0,0,UEFA,1992-12-31
24,USA,USA,43,0,0,CONCACAF,1992-12-31
25,Mexico,MEX,43,0,0,CONCACAF,1992-12-31
26,Bulgaria,BUL,41,0,0,UEFA,1992-12-31
27,Côte d'Ivoire,CIV,41,0,0,CAF,1992-12-31
28,Wales,WAL,40,0,0,UEFA,1992-12-31
29,Yugoslavia,YUG,39,0,0,UEFA,1992-12-31
30,Algeria,ALG,39,0,0,CAF,1992-12-31
31,Greece,GRE,38,0,0,UEFA,1992-12-31
32,Zambia,ZAM,38,0,0,CAF,1992-12-31
