sheet,chain,co_owned,state,southj,centralj,northj,pa1,pa2,shore,ncalls,empft,emppt,nmgrs,wage_st,inctime,firstinc,bonus,pctaff,meals,open,hrsopen,psoda,pfry,pentree,nregs,nregs11,type2,status2,date2,ncalls2,empft2,emppt2,nmgrs2,wage_st2,inctime2,firstin2,special2,meals2,open2r,hrsopen2,psoda2,pfry2,pentree2,nregs2,nregs112,firmid,postevent,NJ,emp
1,1,0,1,0,1,0,0,0,0,0,16,30,4,4.5,,0.25,0,80,3,7,16,0.93,0.83,0.85,4,3,1,1,110592,,20,40,4,5.05,,,0,2,7,16,1.05,0.79,0.9,4,3,1,0,1,46
1,1,0,1,0,1,0,0,0,0,0,16,30,4,4.5,,0.25,0,80,3,7,16,0.93,0.83,0.85,4,3,1,1,110592,,20,40,4,5.05,,,0,2,7,16,1.05,0.79,0.9,4,3,1,1,1,60
2,1,0,1,0,1,0,0,0,0,0,10,6,3,4.75,26,0.5,1,80,1,7,14,1.06,0.91,0.96,2,2,1,1,110592,,7.5,10,3,5.25,19,0.38,1,1,7,15,1.05,1.01,0.94,2,2,2,0,1,16
2,1,0,1,0,1,0,0,0,0,0,10,6,3,4.75,26,0.5,1,80,1,7,14,1.06,0.91,0.96,2,2,1,1,110592,,7.5,10,3,5.25,19,0.38,1,1,7,15,1.05,1.01,0.94,2,2,2,1,1,17.5
3,2,0,1,0,1,0,0,0,0,3,6,13,3,4.25,13,0.25,1,50,2,11,10,1.06,0.95,3.09,5,3,1,1,111792,2,4,7,3,5.05,26,0.25,0,1,11,11,1.05,0.94,2.75,5,3,3,0,1,19
3,2,0,1,0,1,0,0,0,0,3,6,13,3,4.25,13,0.25,1,50,2,11,10,1.06,0.95,3.09,5,3,1,1,111792,2,4,7,3,5.05,26,0.25,0,1,11,11,1.05,0.94,2.75,5,3,3,1,1,11
4,3,0,1,0,1,0,0,0,0,0,10,12,3,4.75,4,0.25,0,50,2,9,12.5,1.06,1,2.13,8,4,1,1,110592,,5,30,4,5.05,26,0.28,0,2,8,13.5,1.22,1.37,0.89,6,4,4,0,1,22
4,3,0,1,0,1,0,0,0,0,0,10,12,3,4.75,4,0.25,0,50,2,9,12.5,1.06,1,2.13,8,4,1,1,110592,,5,30,4,5.05,26,0.28,0,2,8,13.5,1.22,1.37,0.89,6,4,4,1,1,35
5,3,0,1,0,1,0,0,0,0,0,5,30,4,4.5,13,0.17,0,,1,6,17,0.95,,2.13,5,4,1,1,111892,2,10,30,4,5.15,4,0.18,0,2,6,17,1.05,0.94,0.94,5,5,5,0,1,35
5,3,0,1,0,1,0,0,0,0,0,5,30,4,4.5,13,0.17,0,,1,6,17,0.95,,2.13,5,4,1,1,111892,2,10,30,4,5.15,4,0.18,0,2,6,17,1.05,0.94,0.94,5,5,5,1,1,40
6,3,1,1,0,1,0,0,0,0,2,2,2,2,5,13,0.25,0,100,1,11,7,1.2,1.17,2.35,4,2,1,1,111792,1,5,2,2,5.05,13,0.15,0,1,10,8,1.11,1.01,2.23,4,2,6,0,1,4
6,3,1,1,0,1,0,0,0,0,2,2,2,2,5,13,0.25,0,100,1,11,7,1.2,1.17,2.35,4,2,1,1,111792,1,5,2,2,5.05,13,0.15,0,1,10,8,1.11,1.01,2.23,4,2,6,1,1,7
9,1,0,1,0,1,0,0,0,0,2,12,40,4,4.37,26,0.15,0,35,2,7,16,1.04,0.67,0.85,4,4,1,1,110592,,0,32,4,5.05,26,0.13,0,2,7,16,1.11,0.92,1.01,4,3,7,0,1,52
9,1,0,1,0,1,0,0,0,0,2,12,40,4,4.37,26,0.15,0,35,2,7,16,1.04,0.67,0.85,4,4,1,1,110592,,0,32,4,5.05,26,0.13,0,2,7,16,1.11,0.92,1.01,4,3,7,1,1,32
10,1,0,1,0,1,0,0,0,0,0,15,20,4,4.25,39,0.17,0,80,2,7,16,1.04,0.85,0.85,3,3,1,1,110592,,15,15,4,5.05,4,0.28,0,2,7,16,0.94,0.87,0.94,3,2,8,0,1,35
10,1,0,1,0,1,0,0,0,0,0,15,20,4,4.25,39,0.17,0,80,2,7,16,1.04,0.85,0.85,3,3,1,1,110592,,15,15,4,5.05,4,0.28,0,2,7,16,0.94,0.87,0.94,3,2,8,1,1,30
11,1,0,1,0,1,0,0,0,0,2,10,30,4,4.25,26,0.1,0,80,2,7,16,1.09,0.89,0.91,3,3,1,1,111792,1,12,24,3,5.05,,,0,2,7,16,1.05,0.87,0.94,3,2,9,0,1,40
