id,job,area,income,aspect,subscriptions,dist_healthy,save_rate,dist_unhealthy,age,pop_dense,retail_dense,crime,product
1,vv,c,50876.0,13.1,1,9.017895490336436,35,11.738934944499087,49,0.8858267716535433,0.4921259842519685,0.07109995817649518,b
2,kd,c,60369.0,18.625,2,7.766642806012884,59,6.805395531825207,51,0.8740157480314961,0.3425196850393701,0.4008085877596543,c
3,pe,c,55126.0,34.766666666666666,1,3.632068718682892,6,13.671771813966558,44,0.9448818897637795,0.7244094488188977,0.20772340722152516,b
4,11,c,51690.0,15.808333333333332,1,5.37294201861131,16,4.333286497119573,50,0.889763779527559,0.4448818897637795,0.36121566987313536,b
5,kl,d,28347.0,40.94166666666666,3,3.822476735862563,20,5.9671209779401435,38,0.7440944881889764,0.6614173228346457,0.06803290115711697,a
6,e2,c,70854.0,40.4,1,14.893342877594847,87,20.340592946466206,43,0.8661417322834646,0.6732283464566929,0.47358148612853757,d
7,kl,d,38726.0,30.974999999999998,3,3.822476735862563,33,9.480399044541238,39,0.9763779527559056,0.8740157480314961,0.09215112226404573,f
8,nb,a,55162.0,26.96666666666667,2,4.31209735146743,17,29.21989602360545,44,1.0,0.7244094488188977,0.1628328453924439,b
9,al,c,67311.0,32.38333333333333,0,25.09377236936292,169,10.927357032457495,45,0.952755905511811,0.6811023622047244,0.09633347274501604,c
10,pe,a,63344.0,38.233333333333334,1,2.816034359341446,3,21.915694815231138,42,0.8976377952755905,0.7244094488188977,0.1739857800083647,c
11,de,a,52965.0,10.716666666666667,0,8.963493199713671,36,12.491780244485035,48,0.8779527559055118,0.5118110236220472,0.383382127422278,c
12,dz,c,45916.0,21.441666666666666,1,6.08017179670723,16,13.335394126738795,49,0.9566929133858267,0.5551181102362205,0.3584274362191552,a
13,nb,a,55728.0,15.591666666666667,2,9.289906943450251,88,8.028101728256289,51,0.84251968503937,0.3425196850393701,0.05032761745434267,e
14,pz,a,58350.0,6.166666666666666,1,6.760200429491769,33,23.597583251369958,45,0.8149606299212598,0.5236220472440944,0.1463822668339607,b
15,vv,c,59554.0,36.71666666666667,1,10.024337866857552,-11,15.519179429534915,44,0.9291338582677166,0.7125984251968503,0.19489753241321622,b
16,nb,a,52080.0,18.516666666666666,2,4.937723693629206,28,14.05086412814388,50,0.8976377952755905,0.4015748031496063,0.2081416422696222,b
17,al,c,55587.0,8.55,2,6.62419470293486,41,11.322467331740903,46,0.7047244094488189,0.3425196850393701,0.3605186114596403,c
18,dz,c,42728.0,21.658333333333335,1,2.0,0,10.083743150203738,48,0.9566929133858267,0.5748031496062992,0.09758817788930713,f
