state,year,cigsale,lnincome,beer,age15to24,retprice,california,after_treatment
29,1970,123.9000015,,,0.183157891,39.29999924,FALSE,FALSE
32,1970,99.80000305,,,0.178043813,39.90000153,FALSE,FALSE
10,1970,134.6000061,,,0.176515877,30.60000038,FALSE,FALSE
21,1970,189.5,,,0.161554188,38.90000153,FALSE,FALSE
14,1970,115.9000015,,,0.185185179,34.29999924,FALSE,FALSE
27,1970,108.4000015,,,0.175459161,38.40000153,FALSE,FALSE
22,1970,265.7000122,,,0.170731708,31.39999962,FALSE,FALSE
25,1970,93.80000305,,,0.184466019,37.29999924,FALSE,FALSE
2,1970,100.3000031,,,0.169006765,36.70000076,FALSE,FALSE
36,1970,124.3000031,,,0.189421624,28.79999924,FALSE,FALSE
9,1970,124.8000031,,,0.166966692,41.40000153,FALSE,FALSE
31,1970,92.69999695,,,0.178678676,38.5,FALSE,FALSE
34,1970,65.5,,,0.202077433,34.59999847,FALSE,FALSE
7,1970,109.9000015,,,0.187445506,34.29999924,FALSE,FALSE
17,1970,93.40000153,,,0.183130354,36.20000076,FALSE,FALSE
4,1970,124.8000031,,,0.19095023,29.39999962,FALSE,FALSE
16,1970,104.3000031,,,0.174724117,39.09999847,FALSE,FALSE
3,1970,123,,,0.178158328,38.79999924,TRUE,FALSE
33,1970,106.4000015,,,0.183141351,40.40000153,FALSE,FALSE
13,1970,155.8000031,,,0.181310147,28.29999924,FALSE,FALSE
15,1970,128.5,,,0.169014081,38,FALSE,FALSE
24,1970,172.3999939,,,0.193548381,27.29999924,FALSE,FALSE
19,1970,111.1999969,,,0.1757925,34,FALSE,FALSE
35,1970,122.5999985,,,0.179775283,37.70000076,FALSE,FALSE
11,1970,108.5,,,0.168849558,37.70000076,FALSE,FALSE
5,1970,120,,,0.16292876,42.20000076,FALSE,FALSE
12,1970,114,,,0.180524677,34.20000076,FALSE,FALSE
6,1970,155,,,0.173357666,39,FALSE,FALSE
38,1970,106.4000015,,,0.174287006,38.5,FALSE,FALSE
8,1970,102.4000015,,,0.178120613,33.79999924,FALSE,FALSE
23,1970,90,,,0.184857428,39.70000076,FALSE,FALSE
37,1970,114.5,,,0.172591746,33.70000076,FALSE,FALSE
28,1970,107.3000031,,,0.163375989,38.40000153,FALSE,FALSE
30,1970,103.5999985,,,0.200308755,32.5,FALSE,FALSE
26,1970,121.5999985,,,0.173219487,36.59999847,FALSE,FALSE
20,1970,108.0999985,,,0.173737377,33.90000153,FALSE,FALSE
18,1970,121.3000031,,,0.167592987,36,FALSE,FALSE
1,1970,89.80000305,,,0.178861782,39.59999847,FALSE,FALSE
39,1970,132.1999969,,,0.1746988,34.09999847,FALSE,FALSE
9,1971,125.5999985,,,0.168997601,41.40000153,FALSE,FALSE
22,1971,278,,,0.172333896,34.09999847,FALSE,FALSE
31,1971,96.69999695,,,0.180492431,38.5,FALSE,FALSE
13,1971,163.5,,,0.182299584,30.10000038,FALSE,FALSE
39,1971,131.6999969,,,0.177228928,34.40000153,FALSE,FALSE
19,1971,115.5999985,,,0.177145898,34.70000076,FALSE,FALSE
17,1971,105.4000015,,,0.184373051,37.5,FALSE,FALSE
12,1971,102.8000031,,,0.181550041,38.90000153,FALSE,FALSE
6,1971,161.1000061,,,0.175887212,41.29999924,FALSE,FALSE
34,1971,67.69999695,,,0.20206134,36.59999847,FALSE,FALSE
27,1971,115.4000015,,,0.176524818,39.79999924,FALSE,FALSE
15,1971,133.1999969,,,0.17033489,38.79999924,FALSE,FALSE
7,1971,115.6999969,,,0.187866256,35.79999924,FALSE,FALSE
36,1971,128.3999939,,,0.189873517,30.20000076,FALSE,FALSE
18,1971,127.5999985,,,0.169259563,36.79999924,FALSE,FALSE
1,1971,95.40000153,,,0.179927841,42.70000076,FALSE,FALSE
